timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752018477942,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-19,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018477974,101,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-22,text,true,,708,609,100,100,https://dummyjson.com/products/add,101,0,0
1752018477974,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-24,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018477974,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-23,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018477989,110,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-25,text,true,,708,609,100,100,https://dummyjson.com/products/add,110,0,0
1752018478004,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-26,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478020,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-28,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018478020,102,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-27,text,true,,708,609,100,100,https://dummyjson.com/products/add,102,0,0
1752018478035,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-29,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478035,104,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-30,text,true,,708,609,100,100,https://dummyjson.com/products/add,104,0,0
1752018478050,108,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-31,text,true,,708,609,100,100,https://dummyjson.com/products/add,108,0,0
1752018478065,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-32,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478081,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-34,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
1752018478081,103,API-Products-Add-POST,201,Created,Grupo de ilos 100TPS - -AddProducts 1-33,text,true,,708,609,100,100,https://dummyjson.com/products/add,103,0,0
